APRESENTAÇÃO,Quantidade,Tipo de Produto,Detalhes da Embalagem,Unidades
6 MG/ML SOL INJ IV CT FA VD TRANS X 25 ML   ,6 MG,,/ML SOL INJ IV CT FA VD TRANS  ML,X 25
6 MG/ML SOL INJ IV CT FA VD AMB X 5 ML,6 MG,,/ML SOL INJ IV CT FA VD AMB  ML,X 5
"6 MG/ML SOL INJ IV CT FA VD AMB X 16,7 ML",6 MG,,"/ML SOL INJ IV CT FA VD AMB ,7 ML",X 16
6 MG/ML SOL INJ IV CT FA VD AMB X 25 ML,6 MG,,/ML SOL INJ IV CT FA VD AMB  ML,X 25
6 MG/ML SOL INJ IV CT FA VD AMB X 50 ML,6 MG,,/ML SOL INJ IV CT FA VD AMB  ML,X 50
"40 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 0,5 ML + DIL FA VD TRANS X 1,5 ML",40 MG,,"/ML SOL DIL INFUS IV CT FA VD TRANS ,5 ML + DIL FA VD TRANS X 1,5 ML",X 0
40 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 2 ML + DIL FA VD TRANS X 6 ML,40 MG,,/ML SOL DIL INFUS IV CT FA VD TRANS  ML + DIL FA VD TRANS X 6 ML,X 2
20 MG/ML SOL DIL INFUS IV CX FA VD TRANS X 1 ML,20 MG,,/ML SOL DIL INFUS IV CX FA VD TRANS  ML,X 1
20 MG/ML SOL DIL INFUS IV CX FA VD TRANS X 4 ML,20 MG,,/ML SOL DIL INFUS IV CX FA VD TRANS  ML,X 4
20 MG/ML SOL DIL INFUS IV CX FA VD TRANS X 6 ML,20 MG,,/ML SOL DIL INFUS IV CX FA VD TRANS  ML,X 6
"3 MG + 0,03 MG COM REV CT BL AL PLAS TRANS X 28",3 MG,,"+ 0,03 MG COM REV CT BL AL PLAS TRANS",X 28
"3 MG + 0,03 MG COM REV CT BL AL PLAS TRANS X 84",3 MG,,"+ 0,03 MG COM REV CT BL AL PLAS TRANS",X 84
"1,5 MG COM REV CT BL AL PLAS INC X 1","1,5 MG",COM REV CT BL AL PLAS INC X 1,,
"4,5 MG/G GEL NASAL CT FR PLAS OPC DOSADOR X 30 G","4,5 MG",,/G GEL NASAL CT FR PLAS OPC DOSADOR  G,X 30
"6,0 MG/G GEL NASAL CT FR APLIC PLAS OPC X 30G","6,0 MG",,/G GEL NASAL CT FR APLIC PLAS OPC G,X 30
"6,0 MG/G GEL NASAL CT FR APLIC PLAS OPC X 10G","6,0 MG",,/G GEL NASAL CT FR APLIC PLAS OPC G,X 10
"6,0 MG/G GEL NASAL CT FR APLIC PLAS OPC X 5G","6,0 MG",,/G GEL NASAL CT FR APLIC PLAS OPC G,X 5
10 MG COM REV CT BL AL PLAS INC X 30,10 MG,COM REV CT BL AL PLAS INC X 30,,
"1,25 MG COM CT BL AL PLAS TRANS X 28","1,25 MG",COM CT BL AL PLAS TRANS X 28,,
"1,25 MG COM CT BL AL PLAS TRANS X 84","1,25 MG",COM CT BL AL PLAS TRANS X 84,,
1 MG/ML SOL INJ CT 5 FA VD INC X 10 ML,1 MG,,/ML SOL INJ CT 5 FA VD INC  ML,X 10
1 MG/ML SOL INJ CT 5 FA VD AMB X 10 ML,1 MG,,/ML SOL INJ CT 5 FA VD AMB  ML,X 10
"(13,125 + 0,1775 + 0,0466 + 0,3507) G PO PREP EXTEMP CT 20 ENV AL PLAS X 14 G (LIMÃO)","(13,125 + 0,1775 + 0,0466 + 0,3507) G",PO PREP EXTEMP CT 20 ENV AL PLAS X 14 G,(LIMÃO),
"(6,562 + 0,0887 + 0,0233 + 0,1753) G PO PREP EXTEMP CT 20 ENV AL PLAS    X 7 G (LIMÃO)","(6,562 + 0,0887 + 0,0233 + 0,1753) G",PO PREP EXTEMP CT 20 ENV AL PLAS    X 7 G,(LIMÃO),
10 MG / ML SOL INJ CT FA VD AMB X 5 ML ,10 MG,,/ ML SOL INJ CT FA VD AMB  ML,X 5
10 MG / ML SOL INJ CT FA VD AMB X 15 ML ,10 MG,,/ ML SOL INJ CT FA VD AMB  ML,X 15
10 MG / ML SOL INJ CT FA VD AMB X 45 ML,10 MG,,/ ML SOL INJ CT FA VD AMB  ML,X 45
2 MG/ML SOL INJ IV/IVES CT FA VD TRANS X 5 ML ,2 MG,,/ML SOL INJ IV/IVES CT FA VD TRANS  ML,X 5
2 MG/ML SOL INJ IV/IVES CT FA VD TRANS X 25 ML,2 MG,,/ML SOL INJ IV/IVES CT FA VD TRANS  ML,X 25
1 MG / ML SOL INJ CT 5 FA VD AMB X 1 ML,1 MG,,/ ML SOL INJ CT 5 FA VD AMB  ML,X 1
200 MG PÓ LIOF INJ CT FA VD AMB ,200 MG,PÓ LIOF INJ CT FA VD AMB,,
600 MG PÓ LIOF INJ CT FA VD AMB ,600 MG,PÓ LIOF INJ CT FA VD AMB,,
25 MG/ML SOL INJ CT FA VD TRANS X 20 ML,25 MG,,/ML SOL INJ CT FA VD TRANS  ML,X 20
25 MG/ML SOL INJ CT 5 FA VD TRANS X 2 ML,25 MG,,/ML SOL INJ CT 5 FA VD TRANS  ML,X 2
100 MG/ML SOL INJ CT FA VD TRANS X 10 ML,100 MG,,/ML SOL INJ CT FA VD TRANS  ML,X 10
100 MG/ML SOL INJ CT FA VD TRANS X 50 ML,100 MG,,/ML SOL INJ CT FA VD TRANS  ML,X 50
100 MG/ML SOL INJ CT 5 FA VD TRANS X 5 ML ,100 MG,,/ML SOL INJ CT 5 FA VD TRANS  ML,X 5
100 MG/ML SOL INJ CT FA VD TRANS X 10 ML,100 MG,,/ML SOL INJ CT FA VD TRANS  ML,X 10
50 MG/ML SOL INJ CT 5 FA VD TRANS X 10 ML ,50 MG,,/ML SOL INJ CT 5 FA VD TRANS  ML,X 10
50 MG/ML SOL INJ CT  FA VD TRANS X 50 ML ,50 MG,,/ML SOL INJ CT  FA VD TRANS  ML,X 50
1 MG/ML SOL INJ CT FA VD AMB X 10 ML ,1 MG,,/ML SOL INJ CT FA VD AMB  ML,X 10
1 MG/ML SOL INJ CT FA VD AMB X 50 ML ,1 MG,,/ML SOL INJ CT FA VD AMB  ML,X 50
1 MG/ML SOL INJ CT FA VD AMB X 100 ML ,1 MG,,/ML SOL INJ CT FA VD AMB  ML,X 100
9 MG/ML SOL INJ CT  FA VD INC X 10 ML ,9 MG,,/ML SOL INJ CT  FA VD INC  ML,X 10
10 MG/ML SOL INJ CT  FA VD AMB X 5 ML,10 MG,,/ML SOL INJ CT  FA VD AMB  ML,X 5
10 MG/ML SOL INJ CT  FA  VD AMB X 30 ML,10 MG,,/ML SOL INJ CT  FA  VD AMB  ML,X 30
10 MG/ML SOL INJ CT FA VD TRANS X 5 ML,10 MG,,/ML SOL INJ CT FA VD TRANS  ML,X 5
10 MG/ML SOL INJ CT FA VD TRANS X 30 ML,10 MG,,/ML SOL INJ CT FA VD TRANS  ML,X 30
"3 MG + 0,03 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 21 ",3 MG,,"+ 0,03 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS",X 21
"3 MG + 0,03 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 63",3 MG,,"+ 0,03 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS",X 63
200 MG COM CT BL AL PLAS INC X 30,200 MG,COM CT BL AL PLAS INC X 30,,
100 MG COM CT BL AL PLAS INC X 10 ,100 MG,COM CT BL AL PLAS INC X 10,,
100 MG COM CT BL AL PLAS INC X 30 ,100 MG,COM CT BL AL PLAS INC X 30,,
200 MG PÓ LIÓF INJ CT FA VD TRANS,200 MG,PÓ LIÓF INJ CT FA VD TRANS,,
1 G PÓ LIÓF INJ CT FA VD TRANS,1 G,PÓ LIÓF INJ CT FA VD TRANS,,
5 MG/ML SOL INJ CT FA VD AMB X 10 ML,5 MG,,/ML SOL INJ CT FA VD AMB  ML,X 10
5 MG/ML SOL INJ CT FA VD AMB X 20 ML ,5 MG,,/ML SOL INJ CT FA VD AMB  ML,X 20
50 MG PO LIOF INJ CT 5 FA VD TRANS ,50 MG,PO LIOF INJ CT 5 FA VD TRANS,,
1 MG COM REV CT BL AL PLAS TRANS X 30,1 MG,COM REV CT BL AL PLAS TRANS X 30,,
"3 MG + 0,02 MG COM REV CT BL AL PLAS TRANS X 24 ",3 MG,,"+ 0,02 MG COM REV CT BL AL PLAS TRANS",X 24
"3 MG + 0,02 MG COM REV CT BL AL PLAS TRANS X 72",3 MG,,"+ 0,02 MG COM REV CT BL AL PLAS TRANS",X 72
"3 MG + 0,02 MG COM REV CT BL AL PLAS TRANS X 30",3 MG,,"+ 0,02 MG COM REV CT BL AL PLAS TRANS",X 30
"3 MG + 0,02 MG COM REV CT BL AL PLAS TRANS X 60",3 MG,,"+ 0,02 MG COM REV CT BL AL PLAS TRANS",X 60
"3 MG + 0,02 MG COM REV CT BL AL PLAS TRANS X 90",3 MG,,"+ 0,02 MG COM REV CT BL AL PLAS TRANS",X 90
"3 MG + 0,02 MG COM REV CT BL AL PLAS TRANS X 120",3 MG,,"+ 0,02 MG COM REV CT BL AL PLAS TRANS",X 120
"0,25 MG/ML SOL CAPI CT FR PLAS OPC X 100 ML + APLIC","0,25 MG",,/ML SOL CAPI CT FR PLAS OPC  ML + APLIC,X 100
10 MG COM REV CT BL AL PLAS TRANS X 10,10 MG,COM REV CT BL AL PLAS TRANS X 10,,
10 MG COM REV CT BL AL PLAS TRANS X 30,10 MG,COM REV CT BL AL PLAS TRANS X 30,,
20 MG COM REV CT BL AL PLAS TRANS X 30,20 MG,COM REV CT BL AL PLAS TRANS X 30,,
15 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10 ,15 MG,COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 10
15 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,15 MG,COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 30
20 MG/ML SOL CT FR VD AMB X 15 ML ,20 MG,,/ML SOL CT FR VD AMB  ML,X 15
20 MG/ML SOL CT FR VD AMB X 30 ML,20 MG,,/ML SOL CT FR VD AMB  ML,X 30
10 MG COM REV CT BL AL PLAS TRANS X 60,10 MG,COM REV CT BL AL PLAS TRANS X 60,,
20 MG COM REV CT BL AL PLAS TRANS X 60,20 MG,COM REV CT BL AL PLAS TRANS X 60,,
15 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 60,15 MG,COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 60
20 MG/ML SOL CT FR VD AMB X 15 ML COM SABOR,20 MG,,/ML SOL CT FR VD AMB  ML COM SABOR,X 15
20 MG/ML SOL CT FR VD AMB X 30 ML COM SABOR,20 MG,,/ML SOL CT FR VD AMB  ML COM SABOR,X 30
20 MG COM REV CT BL AL PLAS TRANS X 15,20 MG,COM REV CT BL AL PLAS TRANS X 15,,
"0,8 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 5 ML","0,8 MG",,/ML SOL DIL INFUS IV CT FA VD TRANS  ML,X 5
"0,04 MG/ML SOL INFUS IV CT FA PLAS POC TRANS SIST FECH X 100 ML","0,04 MG",,/ML SOL INFUS IV CT FA PLAS POC TRANS SIST FECH  ML,X 100
25 MG  COM REV CT BL AL AL X 60,25 MG,COM REV CT BL AL AL X 60,,
50 MG  COM REV CT BL AL AL X 60,50 MG,COM REV CT BL AL AL X 60,,
100 MG  COM REV CT BL AL AL X 60,100 MG,COM REV CT BL AL AL X 60,,
25 MG  COM REV CT BL AL AL X 10,25 MG,COM REV CT BL AL AL X 10,,
50 MG  COM REV CT BL AL AL X 10,50 MG,COM REV CT BL AL AL X 10,,
10 MG COM REV CT BL AL PLAS TRANS X 30 ,10 MG,COM REV CT BL AL PLAS TRANS X 30,,
10 MG COM REV CT BL AL PLAS TRANS X 60,10 MG,COM REV CT BL AL PLAS TRANS X 60,,
10 MG COM REV CT BL AL PLAS TRANS X 15,10 MG,COM REV CT BL AL PLAS TRANS X 15,,
10 MG COM REV CT BL AL PLAS TRANS X 120,10 MG,COM REV CT BL AL PLAS TRANS X 120,,
1 MG CAP GEL DURA CT BL AL AL X 100,1 MG,CAP GEL DURA CT BL AL AL X 100,,
5 MG CAP GEL DURA CT BL AL AL X 50,5 MG,CAP GEL DURA CT BL AL AL X 50,,
1 MG/G POM DERM CT BG PLAS OPC X 10  G,1 MG,,/G POM DERM CT BG PLAS OPC   G,X 10
1 MG/G POM DERM CT BG PLAS OPC X 30 G,1 MG,,/G POM DERM CT BG PLAS OPC  G,X 30
"0,3 MG/G POM DERM CT BG PLAS OPC X 10 G","0,3 MG",,/G POM DERM CT BG PLAS OPC  G,X 10
"0,3 MG/G POM DERM CT BG PLAS OPC X 30 G","0,3 MG",,/G POM DERM CT BG PLAS OPC  G,X 30
200 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML,200 MG,,/ML SUS OR CT FR PLAS OPC GOT  ML,X 30
25 MG COM REV CT BL AL PLAS TRANS X 4,25 MG,COM REV CT BL AL PLAS TRANS X 4,,
"12,0MG/ML SOL INJ SC CT SER X 0,5 ML","12,0MG",,"/ML SOL INJ SC CT SER ,5 ML",X 0
"100 MG/ML SOL NAS CT FR SPR PLAS OPC X 0,2 ML",100 MG,,"/ML SOL NAS CT FR SPR PLAS OPC ,2 ML",X 0
25 MG COM REV CT BL AL PLAS TRANS X 6,25 MG,COM REV CT BL AL PLAS TRANS X 6,,
15 MG COM CT FR PLAS OPC X 15 ,15 MG,COM CT FR PLAS OPC X 15,,
15 MG COM CT FR PLAS OPC X 30,15 MG,COM CT FR PLAS OPC X 30,,
30 MG COM CT FR PLAS OPC X 15,30 MG,COM CT FR PLAS OPC X 15,,
30 MG COM CT FR PLAS OPC X 30,30 MG,COM CT FR PLAS OPC X 30,,
45 MG COM CT FR PLAS OPC X 30,45 MG,COM CT FR PLAS OPC X 30,,
15 MG COM CT FR PLAS OPC X 60,15 MG,COM CT FR PLAS OPC X 60,,
30 MG COM CT FR PLAS OPC X 60,30 MG,COM CT FR PLAS OPC X 60,,
45 MG COM CT FR PLAS OPC X 60,45 MG,COM CT FR PLAS OPC X 60,,
100 MG PO LIOF SOL INJ CT FA VD TRANS,100 MG,PO LIOF SOL INJ CT FA VD TRANS,,
500 MG PO LIOF SOL INJ CT FA VD TRANS,500 MG,PO LIOF SOL INJ CT FA VD TRANS,,
30 MG CAP DURA LIB RETARD FR PLAS PEAD OPC X 30,30 MG,CAP DURA LIB RETARD FR PLAS PEAD OPC X 30,,
60 MG CAP DURA LIB RETARD FR PLAS PEAD OPC X 30,60 MG,CAP DURA LIB RETARD FR PLAS PEAD OPC X 30,,
30 MG CAP DURA LIB RETARD FR PLAS PEAD OPC X 10,30 MG,CAP DURA LIB RETARD FR PLAS PEAD OPC X 10,,
60 MG CAP DURA LIB RETARD FR PLAS PEAD OPC X 60,60 MG,CAP DURA LIB RETARD FR PLAS PEAD OPC X 60,,
30 MG CAP DURA LIB RETARD FR PLAS PEAD OPC X 60,30 MG,CAP DURA LIB RETARD FR PLAS PEAD OPC X 60,,
10 MG COM REV CT BL AL/AL X 30 ,10 MG,COM REV CT BL AL,/AL,X 30
20 MG COM REV CT BL AL/AL X 30  ,20 MG,COM REV CT BL AL,/AL,X 30
10 MG COM REV CT BL AL/AL X 10,10 MG,COM REV CT BL AL,/AL,X 10
10 MG COM REV CT BL AL/AL X 90,10 MG,COM REV CT BL AL,/AL,X 90
20 MG COM REV CT BL AL/AL X 90,20 MG,COM REV CT BL AL,/AL,X 90
5 MG COM REV CT BL AL/AL X 10,5 MG,COM REV CT BL AL,/AL,X 10
5 MG COM REV CT BL AL/AL X 30,5 MG,COM REV CT BL AL,/AL,X 30
5 MG COM REV CT BL AL/AL X 60,5 MG,COM REV CT BL AL,/AL,X 60
5 MG COM REV CT BL AL/AL X 90,5 MG,COM REV CT BL AL,/AL,X 90
"0,075 MG COM REV CT BL AL PLAS TRANS X 28","0,075 MG",COM REV CT BL AL PLAS TRANS X 28,,
"0,075 MG COM REV CT BL AL PLAS TRANS X 84","0,075 MG",COM REV CT BL AL PLAS TRANS X 84,,
1 MG COM REV CT BL AL AL X 30,1 MG,COM REV CT BL AL AL X 30,,
50 MG + 500 MG COM REV CT BL AL AL X 02 ,50 MG,,+ 500 MG COM REV CT BL AL AL,X 02
85 MG + 500 MG COM REV CT BL AL AL X 02 ,85 MG,,+ 500 MG COM REV CT BL AL AL,X 02
"8 MG + 12,5 MG COM CT BL AL PLAS TRANS X 30",8 MG,,"+ 12,5 MG COM CT BL AL PLAS TRANS",X 30
"8 MG + 12,5 MG COM CT BL AL PLAS TRANS X 60",8 MG,,"+ 12,5 MG COM CT BL AL PLAS TRANS",X 60
"16 MG + 12,5 MG COM CT BL AL PLAS TRANS X 30",16 MG,,"+ 12,5 MG COM CT BL AL PLAS TRANS",X 30
"16 MG + 12,5 MG COM CT BL AL PLAS TRANS X 60",16 MG,,"+ 12,5 MG COM CT BL AL PLAS TRANS",X 60
5 MG + 12.5 MG COM CT BL AL PLAS INC X 30,5 MG,,+ 12.5 MG COM CT BL AL PLAS INC,X 30
"5 MG + 12,5 MG CAP DURA CT FR PLAS PEAD OPC X 30",5 MG,,"+ 12,5 MG CAP DURA CT FR PLAS PEAD OPC",X 30
5MG + 25MG CAP DURA CT FR PLAS OPC X 30,5MG,,+ 25MG CAP DURA CT FR PLAS OPC,X 30
8 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 10,8 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 10,,
8 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,8 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,,
16 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,16 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,,
24 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,24 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,,
8 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 7,8 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 7,,
8 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,8 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,,
16 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,16 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,,
24 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,24 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,,
8 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 10,8 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 10,,
8 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,8 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,,
16 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,16 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,,
24 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,24 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 30,,
8 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 7,8 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 7,,
8 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,8 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,,
16 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,16 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,,
24 MG CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,24 MG,CAP DURA LIB PROL CT FR PLAS PEAD OPC X 60,,
"8 MG + 12,5 MG COM CT BL AL PLAS TRANS X 30",8 MG,,"+ 12,5 MG COM CT BL AL PLAS TRANS",X 30
"8 MG + 12,5 MG COM CT BL AL PLAS TRANS X 60",8 MG,,"+ 12,5 MG COM CT BL AL PLAS TRANS",X 60
"16 MG + 12,5 MG COM CT BL AL PLAS TRANS X 30",16 MG,,"+ 12,5 MG COM CT BL AL PLAS TRANS",X 30
"16 MG + 12,5 MG COM CT BL AL PLAS TRANS X 60",16 MG,,"+ 12,5 MG COM CT BL AL PLAS TRANS",X 60
150MG COM REV CT BL AL PLAS AMB X 15,150MG,COM REV CT BL AL PLAS AMB X 15,,
150MG COM REV CT BL AL PLAS AMB X 30,150MG,COM REV CT BL AL PLAS AMB X 30,,
150MG COM REV CT BL AL PLAS AMB X 60,150MG,COM REV CT BL AL PLAS AMB X 60,,
150MG COM REV CT BL AL PLAS AMB X 90,150MG,COM REV CT BL AL PLAS AMB X 90,,
8 MG COM CT BL AL PLAS TRANS X 30,8 MG,COM CT BL AL PLAS TRANS X 30,,
16 MG COM CT BL AL PLAS TRANS X 30,16 MG,COM CT BL AL PLAS TRANS X 30,,
32 MG COM CT BL AL PLAS TRANS X 30,32 MG,COM CT BL AL PLAS TRANS X 30,,
"0,5 MG COM CT BL AL AL X 60","0,5 MG",COM CT BL AL AL X 60,,
"0,75 MG COM CT BL AL AL X 60","0,75 MG",COM CT BL AL AL X 60,,
"1,0 MG COM CT BL AL AL X 60","1,0 MG",COM CT BL AL AL X 60,,
150 MG PO LIOF SOL INJ IV CT FA VD TRANS,150 MG,PO LIOF SOL INJ IV CT FA VD TRANS,,
150 MG PO LIOF SOL INJ IV CT 2 FA VD TRANS,150 MG,PO LIOF SOL INJ IV CT 2 FA VD TRANS,,
150 MG PO LIOF SOL INJ IV CT 3 FA VD TRANS,150 MG,PO LIOF SOL INJ IV CT 3 FA VD TRANS,,
440 MG PO LIOF SOL INJ IV CT FA VD TRANS + DIL FA VD TRANS X 20 ML,440 MG,PO LIOF SOL INJ IV CT FA VD TRANS,+ DIL FA VD TRANS  ML,X 20
150 MG PO LIOF SOL INJ IV CT 4 FA VD TRANS,150 MG,PO LIOF SOL INJ IV CT 4 FA VD TRANS,,
50 MG/ML SOL INJ CT SER VD INC PREENC DESCART X 5ML + AGULHA,50 MG,,/ML SOL INJ CT SER VD INC PREENC DESCART ML + AGULHA,X 5
50 MG/ML SOL INJ IM CT 2 SER PREENC VD TRANS X 5 ML + 2 AGU,50 MG,,/ML SOL INJ IM CT 2 SER PREENC VD TRANS  ML + 2 AGU,X 5
1 MG PO LIOF SOL INJ CT FA VD AMB,1 MG,PO LIOF SOL INJ CT FA VD AMB,,
"1,5 MG PO LIOF SOL INJ CT FA VD AMB","1,5 MG",PO LIOF SOL INJ CT FA VD AMB,,
"3,5  MG PO LIOF SOL INJ CT FA VD AMB","3,5  MG",PO LIOF SOL INJ CT FA VD AMB,,
250 MG COM CT BL AL PLAS PVC/PVDC TRANS X 120,250 MG,COM CT BL AL PLAS PVC,/PVDC TRANS,X 120
"0,05 MG/ML SOL INFUS IV CT FA PLAS POC TRANS SIST FECH X 100 ML","0,05 MG",,/ML SOL INFUS IV CT FA PLAS POC TRANS SIST FECH  ML,X 100
10 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 10 ML,10 MG,,/ML SOL DIL INFUS IV CT FA VD TRANS  ML,X 10
10 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 50 ML,10 MG,,/ML SOL DIL INFUS IV CT FA VD TRANS  ML,X 50
10 MG/ML SOL DIL INFUS IV CT 2 FA VD TRANS X 10 ML,10 MG,,/ML SOL DIL INFUS IV CT 2 FA VD TRANS  ML,X 10
2 MG COM REV CT BL AL AL X 10,2 MG,COM REV CT BL AL AL X 10,,
2 MG COM REV CT BL AL AL X 30,2 MG,COM REV CT BL AL AL X 30,,
2 MG COM REV CT BL AL AL X 60,2 MG,COM REV CT BL AL AL X 60,,
2 MG COM REV CT BL AL AL X 90,2 MG,COM REV CT BL AL AL X 90,,
4 MG COM REV CT BL AL AL X 10,4 MG,COM REV CT BL AL AL X 10,,
4 MG COM REV CT BL AL AL X 30,4 MG,COM REV CT BL AL AL X 30,,
4 MG COM REV CT BL AL AL X 60,4 MG,COM REV CT BL AL AL X 60,,
4 MG COM REV CT BL AL AL X 90,4 MG,COM REV CT BL AL AL X 90,,
300 MG COM REV CT BL AL PLAS AMB X 15,300 MG,COM REV CT BL AL PLAS AMB X 15,,
300 MG COM REV CT BL AL PLAS AMB X 30,300 MG,COM REV CT BL AL PLAS AMB X 30,,
300 MG COM REV CT BL AL PLAS AMB X 60,300 MG,COM REV CT BL AL PLAS AMB X 60,,
300 MG COM REV CT BL AL PLAS AMB X 90,300 MG,COM REV CT BL AL PLAS AMB X 90,,
300 MG COM REV CT BL AL PLAS AMB X 10,300 MG,COM REV CT BL AL PLAS AMB X 10,,
25 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 20,25 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 20
25 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 30,25 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
25 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 60,25 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 60
25 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 90,25 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 90
50 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 20,50 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 20
50 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 30,50 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
50 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 60,50 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 60
50 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 90,50 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 90
100 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 20,100 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 20
100 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 30,100 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
100 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 60,100 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 60
100 MG CAP DURA LIB PROL CT BL AL PLAS PVC/PE/PVDC TRANS X 90,100 MG,CAP DURA LIB PROL CT BL AL PLAS PVC,/PE/PVDC TRANS,X 90
"(2,5 + 1,5) MG COM REV CT BL AL PLAS PVC/PVDC TRANS CALEND X 24 + 4 PLACEBO","(2,5 + 1,5) MG",COM REV CT BL AL PLAS PVC,/PVDC TRANS CALEND  + 4 PLACEBO,X 24
"(2,5 + 1,5) MG COM REV CT BL AL PLAS PVC/PVDC TRANS CALEND X 72 + 12 PLACEBO","(2,5 + 1,5) MG",COM REV CT BL AL PLAS PVC,/PVDC TRANS CALEND  + 12 PLACEBO,X 72
"(5,0 + 10,0) MG CAP DURA CT FR PLAS OPC X 30","(5,0 + 10,0) MG",CAP DURA CT FR PLAS OPC X 30,,
"(5,0 + 10,0) MG CAP DURA CT FR PLAS OPC X 90","(5,0 + 10,0) MG",CAP DURA CT FR PLAS OPC X 90,,
"(10,0 + 10,0) MG CAP DURA CT FR PLAS OPC X 30","(10,0 + 10,0) MG",CAP DURA CT FR PLAS OPC X 30,,
